segment_no,segment_title_ar,segment_title_en,etimad_code,product_name_ar,product_name_en,product_desc_ar,product_desc_en,effective_date,notes,sector
9998,المستلزمات الطبية,Medical Supplies,1128,قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 20,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 20",قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 20,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 20",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1129,قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 22,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 22",قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 22,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 22",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1130,قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 06,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 06",قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 06,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 06",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1131,قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 10,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 10",قسطرة نيلاتون  طول 45-50 CM ، للاستخدام المرة الواحدة ، معقم  مقاس 10,"CATHETER NELATON P.V.C., 45-50CM LONG, DISPOSABLE, STERILE SIZE: CH 10",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1132,قلم تحديد للعمليات,SKIN MARKER PEN,قلم تحديد للعمليات لون  الحبر بنفسجي بلوري مسطرة معقمة ,"SKIN MARKER PEN, GENTIAN VIOLET INK WITH RULER, STERILE",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1133,كيس جمع البول مدرج للأطفال 100-200 ML,"BAG, URINARY, COLLECTOR FOR PEDIATRIC, 100-200 ML",كيس جمع البول مدرج للأطفال 100-200 ML,"BAG, URINARY, COLLECTOR FOR PEDIATRIC, 100-200 ML",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1134,كيس جمع البول حديثا ,"BAG, URINARY, NEWBORN ",كيس جمع البول حديثا ,"BAG, URINARY, NEWBORN ",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1135,كيس جمع البول,"BAG, URINARY, URIMETRIC",كيس جمع البول,"BAG, URINARY, URIMETRIC",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1136,كيس جمع البول مدرج 500 ML,"BAG, URINARY, WITH GRADUATED, 500 ML",كيس جمع البول مدرج 500 ML,"BAG, URINARY, WITH GRADUATED, 500 ML",2023-04-01,,المستلزمات الطبية
9998,المستلزمات الطبية,Medical Supplies,1137,كيس جمع البول 2000 ML,"BAG, URINE DRAINAGE, 2000 ML CAPACITY,",كيس جمع البول 2000 ML,"BAG, URINE DRAINAGE, 2000 ML CAPACITY,",2023-04-01,,المستلزمات الطبية
